Date;AC.PA;ACA.PA;AI.PA;AIR.PA;BN.PA;BNP.PA;CA.PA;CAP.PA;CS.PA;DG.PA;FP.PA;GLE.PA;KER.PA;LI.PA;LR.PA;MC.PA;ML.PA;OR.PA;ORA.PA;PUB.PA;RI.PA;RNO.PA;SAF.PA;SAN.PA;SOLB.BR;SU.PA;SW.PA;UG.PA;VIE.PA;VIV.PA
2010-03-08;648008.0;4709433.0;1165205.0;3641597.0;1730508.0;3415093.0;2274220.0;781791.0;5109878.0;1780517.0;5023316.0;4284324.0;358096.0;180334.0;573689.0;1041605.0;459671.0;646076.0;4957880.0;691300.0;654422.0;2303968.0;904738.0;1893761.0;107134.0;1521638.0;326293.0;2603720.0;3134995.0;5377098.0
2010-03-09;860767.0;6622570.0;1026446.0;8225292.0;2053582.0;3798353.0;2210998.0;922271.0;5933588.0;2353703.0;6091472.0;4003865.0;423235.0;240649.0;574400.0;1113821.0;591964.0;660358.0;5933147.0;693075.0;692155.0;1919198.0;1074801.0;2770020.0;144694.0;1449062.0;340028.0;2173265.0;3526100.0;4332533.0
2010-03-10;1696127.0;8717515.0;1027504.0;3765845.0;1591278.0;2870151.0;2142896.0;1376675.0;10890487.0;1796846.0;6378601.0;3468536.0;459086.0;253710.0;778366.0;1225499.0;1024338.0;674820.0;5617295.0;850078.0;685300.0;2358906.0;770987.0;2765237.0;150746.0;3359140.0;697501.0;3768471.0;2121702.0;4876834.0
2010-03-11;1018849.0;6880218.0;1073528.0;5307266.0;1830279.0;3472501.0;2967931.0;1140379.0;5495653.0;1812637.0;4261286.0;3450514.0;1291200.0;271368.0;623914.0;1142369.0;1007156.0;640356.0;5166029.0;497462.0;728396.0;1976297.0;1467601.0;2446590.0;155246.0;2774052.0;242226.0;3088180.0;1983901.0;3455664.0
2010-03-12;1372758.0;5656323.0;1012033.0;2938718.0;1513015.0;3535395.0;4872323.0;963530.0;6629741.0;2585107.0;6457677.0;3939184.0;936602.0;234867.0;566760.0;821159.0;691510.0;735491.0;5981149.0;424800.0;515560.0;2904165.0;910620.0;2765897.0;90360.0;2197524.0;316013.0;3123114.0;3949701.0;3186100.0
2010-03-15;741816.0;5553976.0;1136763.0;1629309.0;2061783.0;2773075.0;2544516.0;827242.0;8441545.0;1525315.0;4605586.0;3634976.0;722063.0;216005.0;336625.0;681675.0;563512.0;549222.0;6400140.0;355854.0;532854.0;2072448.0;1337429.0;3205162.0;113017.0;1820302.0;334918.0;1434948.0;1957019.0;2545207.0
2010-03-16;1000383.0;6992407.0;1091518.0;2197552.0;1879666.0;3568722.0;2306423.0;917475.0;6186062.0;1702130.0;5083333.0;3656323.0;353355.0;215610.0;433512.0;831666.0;703009.0;879501.0;5637685.0;605533.0;539028.0;2771476.0;1396450.0;4247751.0;111283.0;1466798.0;283576.0;2463666.0;2140153.0;3744353.0
2010-03-17;1524712.0;5081961.0;1158368.0;3653641.0;1408251.0;3128705.0;1828230.0;1017821.0;7758946.0;2573296.0;5185850.0;4004676.0;476913.0;187302.0;595800.0;1021737.0;734773.0;689035.0;5732273.0;607624.0;698210.0;2667347.0;1309703.0;4200532.0;119074.0;1866152.0;571918.0;2425784.0;2596714.0;3843501.0
2010-03-18;1304113.0;5052204.0;1478032.0;6033569.0;1979562.0;2890896.0;2551227.0;716917.0;6908965.0;1931432.0;6692334.0;3604860.0;377375.0;260237.0;612050.0;987629.0;620364.0;740143.0;7532571.0;827084.0;434296.0;1654784.0;1056539.0;2874431.0;99291.0;1949496.0;282771.0;1918460.0;1285924.0;3608690.0
2010-03-19;1337427.0;11509371.0;3398159.0;4974669.0;3729961.0;6173391.0;3746426.0;1276766.0;11067921.0;3589201.0;11389078.0;6353339.0;545980.0;342606.0;903258.0;1380933.0;802757.0;1120354.0;15936992.0;965831.0;856184.0;2566485.0;1397560.0;6456134.0;174419.0;3012186.0;384621.0;2685154.0;3126905.0;7680011.0
